



順位,名前,段位,エメラルドPT,麻雀ファイトガール最終更新：2023/09/27 20:50時点のランキング
001位,タテナオリ・セン,総合スコア 522.8,りとえるしあ雀星Lv.8,個人スコア322.2,ファイトガールスコア200.6
002位,ナナツノ・ツミレ,総合スコア 501.0,DESSA雀星Lv.13,個人スコア321.3,ファイトガールスコア179.7
003位,アマト・テンシ,総合スコア 488.7,めろりぬ雀星Lv.42,個人スコア284.6,ファイトガールスコア204.1
004位,ゼツバミ・ヤオ,総合スコア 487.2,SKコマチ雀星★Lv.6,個人スコア292.2,ファイトガールスコア195.0
005位,パイン,総合スコア 487.1,せが雀星Lv.39,個人スコア315.8,ファイトガールスコア171.3
006位,クニノカミ・ムサシ,総合スコア 481.2,とみたける雀星Lv.34,個人スコア283.2,ファイトガールスコア198.0
007位,アンコク・ミツバ,総合スコア 479.6,ミント雀星Lv.24,個人スコア284.3,ファイトガールスコア195.3
008位,トイトイ,総合スコア 479.6,ぐでかご雀星Lv.67,個人スコア279.4,ファイトガールスコア200.2
009位,ヤワラギ・ヒヨリ,総合スコア 478.8,うおたみ雀星Lv.24,個人スコア299.2,ファイトガールスコア179.6
010位,藤崎詩織,総合スコア 469.4,ひでじ雀星Lv.75,個人スコア321.1,ファイトガールスコア148.3
個別ランキングヤワラギ・ヒヨリ
016位,しるこサンド,雀星Lv.19,206.8
017位,EVE,雀星Lv.14,201.4
018位,ファイトガール,雀星Lv.1,200.5
019位,くりたろう,雀星Lv.3,199.4
020位,BYK,雀星Lv.4,186.2
021位,てない,三段,183.4
022位,*Yu－Na*,雀星Lv.44,182.0
023位,トネガワッ☆,雀星Lv.11,180.9
024位,ファイトガール,十段,178.3
025位,★みおたん★,五段,177.8
026位,●＼∀／●,八段,177.4
027位,アメリー,初段,169.5
028位,しゃけとば,二段,167.4
029位,うみのこえ,雀星Lv.3,163.4
030位,ジュン,雀星Lv.1,163.0
031位,ファイトガール,七段,162.9
032位,バタバタ3,２級,162.8
033位,のここ,雀星Lv.1,162.1
034位,あおやま,七段,161.5
035位,すのい,七段,154.2
036位,FITZ,雀星Lv.2,152.8
037位,ライツ,六段,151.8
038位,あるてぃな,二段,149.5
039位,ごめちゃん,九段,140.1
040位,こっせつ,六段,131.6
041位,おき,六段,129.7
042位,まこんまこん,二段,128.5
043位,ギタクシアス,六段,128.1
044位,DANTE,四段,113.0
045位,かるまさん,７級,109.1
046位,シルバー,雀星Lv.23,106.6
047位,なげっつ,八段,106.3
048位,MA－KING,５級,104.1
049位,からんからん,九段,102.9
050位,めめしくて,雀星Lv.1,99.6
個別ランキングアマト・テンシ
001位,めろりぬ,雀星Lv.42,284.6
002位,ラスク,雀星Lv.64,280.4
003位,しあるん,雀星Lv.96,279.7
004位,おぐらあん,雀星Lv.10,271.2
005位,やまがみ,雀星Lv.22,260.5
006位,いか,雀星Lv.3,250.5
007位,イギ,十段,249.1
008位,ましろ,九段,246.9
009位,ただのロリコン,雀星Lv.19,238.1
010位,フロストらとす,雀星Lv.2,237.5
011位,せつか,九段,234.1
012位,きゃら,雀星Lv.15,232.1
013位,セルベリア,雀星Lv.9,230.8
014位,トンヌラ,雀星Lv.12,227.1
015位,じばくれい,雀星Lv.6,221.7
016位,ヌコまる,七段,218.2
017位,アレイズ,雀星Lv.7,216.6
018位,わたてー,雀星Lv.1,215.8
019位,マウンテン,雀星Lv.27,215.0
020位,ゆう,八段,212.1
