順位,名前,段位,麻雀ファイトガールエメラルドPT 最終更新：2023/06/03 18:00時点のランキング
001位,ファイトガール,雀星Lv.5,212.3
002位,Sリアルは5で,雀星Lv.2,198.3
003位,あさシン,雀星Lv.6,193.5
004位,ファイトガール,雀星Lv.3,188.7
005位,そふぁー,雀星Lv.1,184.3
006位,てつじん,２級,181.5
007位,☆AWOO！☆,八段,174.7
008位,アレン,七段,173.3
009位,ヤン・スエ,四段,173.2
010位,FUKAKEN,雀星Lv.15,171.5
011位,グロウアップ,九段,171.2
012位,とかちす,雀星Lv.1,171.1
013位,わかばみつば,雀星Lv.1,168.0
014位,ナガレボシ44,雀星Lv.27,167.2
015位,ホリック,二段,166.2
016位,ディスノミア,八段,164.7
017位,ペンギエモン,二段,164.2
018位,GANO,雀星Lv.3,163.5
019位,アイコトトロ,雀星Lv.6,163.4
020位,eiri,雀星Lv.4,162.7
021位,jolly,七段,162.2
022位,ファイトガール,雀星Lv.1,161.8
023位,はみ,四段,161.6
024位,かぼちゃさん,雀星Lv.16,161.4
025位,かるて,十段,161.1
026位,YUKI,雀星Lv.12,160.5
027位,あさIじおき,四段,159.0
028位,はいいろ,１級,159.0
029位,ファイトガール,九段,158.8
030位,ソウリン,六段,156.9
031位,pita,雀星Lv.3,156.8
032位,ヤマ,五段,155.3
033位,ホタルビ,十段,154.8
034位,レア,２級,154.5
035位,щ(▼ω▼)щ,雀星Lv.26,154.4
036位,ガンテツ,七段,153.2
037位,PECO,八段,151.4
038位,げりべん,雀星Lv.1,151.2
039位,イギ,６級,150.9
040位,にかろん,九段,150.6
041位,のびイヌ,雀星Lv.46,150.6
042位,AS,雀星Lv.13,150.6
043位,CPU,雀星Lv.3,150.1
044位,ひがしせつな,七段,149.7
045位,ほーらい,雀星Lv.22,148.7
046位,むっさん,七段,148.7
047位,あじだはーか,五段,148.6
048位,ファイトガール,三段,148.4
049位,ROSA,九段,148.1
050位,いそぱん,雀星Lv.13,148.1
051位,ちょの,七段,147.4
052位,みらん,８級,146.2
053位,かえる,雀星Lv.29,146.1
054位,ねこさく5,十段,146.0
055位,こてつ,五段,145.7
056位,ぷろる,雀星Lv.5,144.8
057位,あくじき,雀星Lv.14,144.8
058位,アルダ,十段,144.6
059位,ファイトガール,初段,144.5
060位,ぷー,雀星Lv.3,144.4
061位,あくまくん,初段,143.7
062位,いしばしのネコ,四段,143.5
063位,おはララ,六段,143.5
064位,HITS,八段,143.2
065位,かっちゃんっ／,３級,143.0
066位,アトラクサ,三段,142.5
067位,TKY,四段,142.1
068位,かわうそ,雀星Lv.24,142.0
069位,ごごきゅーぶ,雀星Lv.10,141.9
070位,シーナンス,二段,141.5
071位,LON,四段,141.4
072位,*Yu－Na*,雀星Lv.28,141.3
073位,ささみチキン,雀星Lv.1,141.2
074位,K,二段,141.2
075位,あたご,雀星Lv.1,141.1
076位,らすてぃ,雀星Lv.27,140.9
077位,ポーラッカ,雀星Lv.12,140.6
078位,アルトライン,八段,140.2
079位,latte,雀星Lv.1,140.1
080位,なべさん,初段,140.0
