順位,名前,段位,麻雀ファイトガールエメラルドPT 最終更新：2023/06/03 18:00時点のランキング
081位,MGI,雀星Lv.4,139.9
082位,ゆーまん,二段,139.8
083位,NAGISA,１級,139.8
084位,かめ,七段,139.3
085位,なきのリュー,雀星Lv.2,139.2
086位,SKコマチ,雀星Lv.43,139.2
087位,ファイトガール,雀星Lv.3,139.0
088位,ファイトガール,六段,138.7
089位,ニーチェ,八段,138.6
090位,トゥインクル,五段,138.4
091位,ソダシ,雀星Lv.1,137.9
092位,tahiti,雀星Lv.2,137.8
093位,マルト,５級,137.7
094位,MARONY,十段,137.5
095位,ファイトガール,五段,137.1
096位,たんご,八段,137.1
097位,NATS,二段,136.9
098位,しきえもん♪,四段,136.8
099位,いなづま,５級,136.7
1134位,高宮 まり プロ,挑戦中
1225位,赤木 クロ プロ,挑戦中
100位,カンコーヒー,四段,136.5
1134位,高宮 まり プロ,挑戦中
1225位,赤木 クロ プロ,挑戦中
101位,アスマ,九段,136.2
102位,ブレクト,七段,136.1
103位,しろがね,七段,136.0
104位,あさひな,雀星Lv.3,135.9
105位,しゃみ(ねこ),四段,135.8
106位,りふれいん,二段,135.8
107位,タマQ,４級,135.5
108位,トンヌラ,雀星Lv.1,135.3
109位,タイシン,六段,135.3
110位,てつまる,３級,135.2
111位,ゆーさん,二段,135.1
112位,O－JIYA,雀星Lv.10,135.0
113位,J2,四段,134.9
114位,KITTY,八段,134.8
115位,マコト,九段,134.7
116位,のだコトネ,九段,134.6
117位,ミリア,雀星Lv.15,134.3
118位,ぱね,八段,134.0
119位,かしわもち,八段,134.0
120位,ひびき,初段,133.9
121位,368℃,八段,133.5
122位,Hiro,三段,133.3
123位,ヤマト,４級,133.1
124位,てつや,二段,133.0
125位,かぐらマニア,三段,133.0
126位,リューミア,八段,133.0
127位,フィオ,雀星Lv.1,132.8
128位,じばくれい,十段,131.5
129位,Cherry,雀星Lv.21,131.3
130位,ファイトガール,九段,131.2
131位,みずと,雀星Lv.1,131.2
132位,くるまえび,二段,131.0
133位,タクトン,雀星Lv.4,131.0
134位,けん,１級,130.9
135位,はるあき,十段,130.7
136位,むらりぃん,二段,130.3
137位,うわぶれ,二段,130.3
138位,BWM,雀星Lv.17,130.3
139位,PHOENIX,雀星Lv.5,130.3
140位,にゃにゃ,九段,130.3
141位,SABACAN,七段,130.1
142位,リシュ,八段,130.1
143位,NORIX,六段,129.9
144位,ほのぼの,初段,129.8
145位,MOST,雀星Lv.2,129.8
146位,RURIO,雀星Lv.6,129.6
147位,きょうか,八段,129.6
148位,TAO,十段,129.6
149位,GIN,雀星Lv.2,129.3
150位,Ange,７級,129.2
151位,しろうさ☆ω☆,雀星Lv.4,129.2
152位,せが,雀星Lv.11,129.2
153位,わるさー,三段,129.1
154位,ももはな,六段,129.0
155位,おぐらあん,雀星Lv.3,128.7
156位,ちあはん,２級,128.5
157位,ないとう,八段,128.4
158位,nao,三段,128.3
159位,ROUTE,二段,128.2
160位,みちめ,初段,128.2
161位,はやてん,雀星Lv.5,128.2
162位,ゆきかぜ,三段,128.1
163位,アンカレ,８級,128.1
164位,ロック,雀星Lv.1,128.0
165位,よしぷー,雀星Lv.14,128.0
166位,ハママジ,二段,128.0
167位,ファイトガール,初段,127.6
168位,まろまゆカイ,雀星Lv.6,127.0
169位,eyf,三段,126.8
170位,セツナ,五段,126.7
171位,ポロロッカ,雀星Lv.12,126.7
172位,ファイトガール,初段,126.6
173位,☆みなまい☆,七段,126.4
174位,たぬきち,初段,126.4
175位,ヤマト,三段,126.3
176位,きすけ,七段,125.9
177位,ざく,三段,125.9
178位,サツキ,七段,125.8
179位,ayase,雀星Lv.1,125.8
180位,しえる,八段,125.7
181位,MIC・,六段,125.6
182位,ノカレ,四段,125.6
183位,SEEK,雀星Lv.1,125.5
184位,ぽかぽか,八段,125.5
185位,にくじん,雀星Lv.8,125.5
186位,むさしまる,１級,125.0
187位,のりあき,３級,125.0
188位,ファイトガール,八段,124.9
189位,EVE,雀星Lv.5,124.9
190位,くろへい,雀星Lv.3,124.8
191位,ひまや,２級,124.7
192位,キャオラッ,六段,124.6
193位,スリザリン,九段,124.6
194位,いぬさん,六段,124.4
195位,ペロペロ,三段,124.2
196位,HOYQ,１級,124.1
197位,MORIRON,四段,124.1
198位,わいず,３級,124.0
199位,キリスランP,雀星Lv.2,124.0
1134位,高宮 まり プロ,挑戦中
1225位,赤木 クロ プロ,挑戦中
1134位,高宮 まり プロ,挑戦中
1225位,赤木 クロ プロ,挑戦中
1134位,高宮 まり プロ,挑戦中
1225位,赤木 クロ プロ,挑戦中
200位,じゃんぼりぃ,雀星Lv.4,124.0
201位,あおい,６級,123.9
202位,エスエル,雀星Lv.4,123.9
203位,カズマさん,九段,123.7
204位,ながたゆうじ,８級,123.7
205位,ねこYJ,八段,123.6
206位,ばーばー,二段,123.5
207位,なとりー,２級,123.3
208位,ユリエル,４級,123.3
209位,ロサキネンシス,雀星Lv.9,123.1
210位,すまんす,七段,123.0
211位,シャロン,１級,123.0
212位,まっきー,雀星Lv.3,122.8
213位,MONちゃん,五段,122.8
214位,ぴーくん☆,雀星Lv.6,122.7
215位,まいとな,５級,122.6
216位,MA－YA,雀星Lv.9,122.5
217位,ファイトガール,九段,122.4
218位,ウィッチリー,雀星Lv.4,122.4
219位,Ver_7,八段,122.3
220位,サラサ,雀星Lv.5,122.3
221位,DBEYR,６級,122.2
222位,ファイトガール,三段,122.1
223位,wamotu,雀星Lv.6,122.0
224位,みずぶろ,九段,122.0
225位,リョウ,雀星Lv.2,121.9
226位,ピエロ,初段,121.6
227位,えとこ,初段,121.6
228位,なたね,雀星Lv.7,121.5
229位,Oqan,３級,121.5
230位,asagiG2,雀星Lv.20,121.2
231位,SB,雀星Lv.2,121.0
232位,ぁぉぃ,雀星Lv.4,120.9
233位,ファイトガール,２級,120.9
234位,オニアカリ,６級,120.5
235位,なべしん＾ω＾,雀星Lv.28,120.4
236位,わたてー,七段,120.4
237位,FERICK,初段,120.4
238位,ミーナ,８級,120.4
239位,こねこね,５級,120.3
240位,タタクヤ,二段,120.2
241位,マボしゃん,２級,120.1
242位,るい,２級,120.1
243位,Coffee,雀星Lv.6,120.0
244位,ゆっきー,１級,120.0
245位,JAKE,初段,119.8
246位,ユーロン,３級,119.8
247位,いしお,３級,119.7
248位,ギガゴ,８級,119.6
249位,みか,５級,119.6
250位,EUCLID,六段,119.6
251位,KENT1mg,六段,119.5
252位,コメゾゥ,４級,119.4
253位,めろりぬ,雀星Lv.4,119.3
254位,バイパー,３級,119.2
255位,ふいだま,初段,118.9
256位,ナナチ,雀星Lv.8,118.9
257位,カイトアイス,三段,118.5
258位,すどう,五段,118.4
259位,BLUE,五段,118.3
260位,ゆう,７級,118.3
261位,tenea,６級,118.2
262位,DA,四段,118.2
263位,ゼヴ,四段,118.2
264位,SLCふー,七段,118.0
265位,Ly,４級,117.9
266位,ミルスェット,八段,117.7
267位,ちゃぺる,八段,117.6
268位,ビプこ,二段,117.6
269位,ひややっこ,二段,117.6
270位,かおるだ,十段,117.5
271位,ぱちぇりー,雀星Lv.25,117.5
272位,ピコ,八段,117.5
273位,ハンゾー,三段,117.3
274位,るぴなす,雀星Lv.1,117.3
275位,きじとら,八段,117.2
276位,ミリムナーヴァ,４級,117.0
277位,7シャンテン,雀星Lv.29,116.7
278位,ヤヤヤコココ,七段,116.6
279位,オンスロート,５級,116.5
280位,ファイトガール,雀星Lv.1,116.2
281位,あれーぬ,雀星Lv.1,116.0
282位,モス,六段,115.9
283位,klly,４級,115.8
284位,ファイトガール,雀星Lv.3,115.8
285位,ざーど,五段,115.5
286位,ちひろ,２級,115.4
287位,チンイツ,雀星Lv.4,115.4
288位,きんちょめ,１級,115.4
289位,りな,６級,115.3
290位,STスルー,七段,115.1
291位,ぼうおすし,初段,115.1
292位,しがセンセイ,初段,115.0
293位,avis,６級,114.9
294位,ハイバネラッカ,８級,114.7
295位,ひびきんぐ,８級,114.5
296位,どろす,１級,114.4
297位,さと,五段,114.4
298位,のいる,７級,114.4
299位,re,八段,114.3
300位,TOTORO★,二段,114.1
301位,やまねこ,七段,114.1
302位,みはらだ,二段,114.0
303位,たつや,雀星Lv.2,114.0
304位,775ン,２級,113.9
305位,NOEL,三段,113.7
306位,ECE116,五段,113.6
307位,ねこにん,１級,113.6
308位,えんがわ,５級,113.5
309位,はうざー,十段,113.5
310位,KEI,６級,113.4
311位,やねんおやかた,四段,113.2
312位,あちふく,雀星Lv.5,113.2
313位,ザク,六段,113.1
314位,mlSO456,８級,113.0
315位,ホべつ4マン♪,雀星Lv.1,112.9
316位,イリヤ,四段,112.7
317位,いか,八段,112.7
318位,DN,６級,112.7
319位,べりめと,六段,112.5
320位,kr976,雀星Lv.1,112.5
321位,しとみ,１級,112.5
322位,cbREV,１級,112.4
323位,しんや34,７級,112.3
324位,ホームズ,二段,112.1
325位,パンチョ,雀星Lv.7,112.1
326位,E・K,初段,112.1
327位,*あお*,五段,112.0
328位,YOSIO,雀星Lv.1,112.0
329位,Ted_F,八段,111.6
330位,Noria,二段,111.5
331位,うみ,四段,111.3
332位,はるかわ,雀星Lv.5,111.3
333位,ZERO,２級,111.2
334位,TON,雀星Lv.20,110.9
335位,アリュベルカ,二段,110.9
336位,ファイトガール,二段,110.7
337位,pえてちq,３級,110.5
338位,セイレン,二段,110.5
339位,PPDDLL,３級,110.5
340位,MEMちょ,雀星Lv.3,110.4
341位,KEN,１級,110.3
342位,わろし,３級,110.3
343位,こめいし,八段,110.3
344位,はく,雀星Lv.9,110.2
345位,ファイトガール,雀星Lv.1,110.2
346位,JDK*,雀星Lv.7,110.1
347位,イーソウ,八段,110.1
348位,カナちゃん,１級,109.9
349位,やまと,５級,109.9
350位,ユーコ,二段,109.8
351位,なす,雀星Lv.8,109.8
352位,〈＝∀＝〉,３級,109.6
353位,GFセンコー,雀星Lv.12,109.6
354位,Cynthia,二段,109.5
355位,よすす,初段,109.4
356位,ノーホーラ,雀星Lv.4,109.3
357位,ぼんず,５級,109.3
358位,14,初段,109.3
359位,Eclat,３級,109.2
360位,natsume,八段,109.0
361位,スティング,６級,108.9
362位,ファイトガール,雀星Lv.2,108.8
363位,ドボンキング,初段,108.5
364位,FLOOR,六段,108.4
365位,214G,雀星Lv.5,108.2
366位,ミミヒメ,２級,108.2
367位,ファイトガール,６級,108.1
368位,みきち3,５級,108.1
369位,SUZU,初段,108.1
370位,メイヴァ,３級,108.0
371位,ゲン,七段,107.9
372位,クボちゃん,４級,107.8
373位,Y・S,十段,107.5
374位,sabaku,五段,107.5
375位,セオン,３級,107.5
376位,くろの,雀星Lv.3,107.5
377位,ポポストア,雀星Lv.6,107.4
378位,くらすべる,３級,107.3
379位,クロコロ,七段,107.3
380位,フリオーソ,１級,107.2
381位,にゃも,３級,107.2
382位,アポリア,雀星Lv.14,107.1
383位,けにっく,１級,107.1
384位,アノア,五段,107.0
385位,とみたける,２級,107.0
386位,くろねこ,三段,107.0
387位,ツミレ,雀星Lv.2,107.0
388位,マサオ,７級,106.9
389位,かぐや,雀星Lv.3,106.8
390位,ファイトガール,六段,106.8
391位,ツキモチ,３級,106.8
392位,ぎんじ,１級,106.7
393位,マサオツモル,２級,106.7
394位,よつね,雀星Lv.18,106.6
395位,ファイトガール,二段,106.6
396位,くりすえす,４級,106.6
397位,カンゲン,雀星Lv.1,106.3
398位,ニャモ,６級,106.3
399位,フェムト,九段,106.2
400位,あ・け,２級,106.0
401位,しろすな,９級,106.0
402位,まとおんぬ,八段,105.9
403位,KEN,五段,105.9
404位,ωてんたつω,雀星Lv.3,105.8
405位,さくりゃん,四段,105.8
406位,あたまハピナス,２級,105.7
407位,ツバッチ,４級,105.7
408位,ファイトガール,４級,105.7
409位,ファイトガール,５級,105.7
410位,クロポトキン,７級,105.6
411位,かぜ,６級,105.3
412位,かにチャーハン,１級,105.3
413位,うどん,五段,105.3
414位,ゴブリン,二段,105.2
415位,ガァララ,七段,105.2
416位,クジンシー,８級,105.2
417位,フジワラ,初段,105.1
418位,おてんきマップ,三段,105.1
419位,NAO,五段,105.0
420位,きじたろ,５級,104.9
421位,しおた,初段,104.9
422位,あかつき,雀星Lv.5,104.9
423位,アリス,九段,104.9
424位,グリムトルテ,六段,104.8
425位,けーおん,５級,104.7
426位,あきつしま,五段,104.7
427位,ぜりぃ,初段,104.7
428位,じゃむじぃ,六段,104.5
429位,あおばや,３級,104.4
430位,ポット！！,五段,104.2
431位,つかたんょ♪★,６級,104.2
432位,sazabi,３級,104.1
433位,くぜ☆まずみ,雀星Lv.3,104.1
434位,gureizu,五段,104.0
435位,スー,二段,104.0
436位,みおんさん,二段,103.9
437位,ダイヤ,８級,103.9
438位,ヒロキ,五段,103.8
439位,JDリーシュ,雀星Lv.5,103.7
440位,ファイトガール,六段,103.6
441位,レイヴ,２級,103.6
442位,ポチた,３級,103.5
443位,えふに,雀星Lv.13,103.4
444位,Dana,９級,103.3
445位,HAL,二段,103.3
446位,てない,４級,103.2
447位,ゆう,初段,103.1
448位,うラキ,雀星Lv.2,103.1
449位,ジュン,五段,103.1
450位,ok2,５級,103.1
451位,Mr_スケ,５級,103.0
452位,アトリ,九段,103.0
453位,サブ・ゼロ,六段,102.8
454位,はるち,八段,102.7
455位,よいどれJIN,二段,102.7
456位,5STAR,８級,102.5
457位,イノ,二段,102.5
458位,ニシ,６級,102.4
459位,ファイトガール,十段,102.4
460位,SGL,五段,102.4
461位,みゆき,２級,102.4
462位,あお,６級,102.4
463位,サンタケ,１級,102.3
464位,レ,５級,102.2
465位,MST,五段,102.2
466位,こぶ,３級,101.8
467位,すぎたともかず,六段,101.8
468位,あり,三段,101.8
469位,29,５級,101.7
470位,57300,７級,101.7
471位,mutsuki,四段,101.7
472位,ヤギ,七段,101.5
473位,COJ35,雀星Lv.1,101.5
474位,LCあがの,７級,101.5
475位,ラグ,８級,101.5
476位,けいしゃ,四段,101.5
477位,とよん,雀星Lv.2,101.2
478位,ミャウ,雀星Lv.11,101.2
479位,さとう,５級,101.2
480位,なかやすみ,五段,101.0
481位,ソラ,９級,100.9
482位,マウンテン,八段,100.8
483位,うきびたほ,五段,100.8
484位,かずき,四段,100.7
485位,アヤサト,雀星Lv.5,100.6
486位,$щ(★ω★),４級,100.6
487位,たかぴー,七段,100.6
488位,シャウエッセン,１級,100.4
489位,コープスドール,９級,100.4
490位,トニィ,３級,100.3
491位,ウシコ,雀星Lv.4,100.2
492位,AaronML,７級,100.2
493位,SAUSE∀,１級,100.2
494位,ティーナ,雀星Lv.36,100.1
495位,ねぎま,三段,100.0
496位,Sii,九段,100.0
497位,れぃな,三段,99.9
498位,キャタP,四段,99.8
499位,ぷらむ,九段,99.8
500位,ヒカエメ,４級,99.8
