★入賞条件/参考ボーダー★
プラチナトロフィー上位10位,173.2以上
ゴールドトロフィー上位10％,127.4以上
シルバートロフィー上位30％,97.4以上
ブロンズトロフィー上位70％,37.7以上

1305位,高宮 まり プロ,挑戦中
1407位,赤木 クロ プロ,挑戦中

順位,名前,段位,麻雀ファイトガールエメラルドPT 最終更新：2023/06/03 20:30時点のランキング
069位,こてつ,五段,145.7
070位,ぷろる,雀星Lv.5,144.8
071位,あくじき,雀星Lv.14,144.8
072位,アルダ,十段,144.6
073位,ファイトガール,初段,144.5
074位,じばくれい,十段,144.5
075位,かっちゃんっ／,３級,144.1
076位,あくまくん,初段,143.7
077位,いしばしのネコ,四段,143.5
078位,おはララ,六段,143.5
079位,メルクーリオ,四段,143.5
080位,ユーロン,２級,143.3
081位,HITS,八段,143.2
082位,せが,雀星Lv.11,142.6
083位,アトラクサ,三段,142.5
084位,TKY,四段,142.1
085位,かわうそ,雀星Lv.24,142.0
086位,ごごきゅーぶ,雀星Lv.10,141.9
087位,シーナンス,初段,141.5
088位,*Yu－Na*,雀星Lv.28,141.3
089位,イッチ,六段,141.3
090位,ささみチキン,雀星Lv.1,141.2
091位,K,二段,141.2
092位,あたご,雀星Lv.1,141.1
093位,らすてぃ,雀星Lv.27,140.9
094位,DTsin1,二段,140.9
095位,ポーラッカ,雀星Lv.12,140.6
096位,アルトライン,八段,140.2
097位,latte,雀星Lv.1,140.1
098位,なべさん,初段,140.0
099位,MGI,雀星Lv.4,139.9
100位,ゆーまん,二段,139.8
101位,NAGISA,１級,139.8
102位,かめ,七段,139.3
103位,なきのリュー,雀星Lv.2,139.2
104位,SKコマチ,雀星Lv.43,139.2
105位,ちあはん,１級,139.1
106位,ファイトガール,雀星Lv.3,139.0
107位,ファイトガール,六段,138.7
108位,ニーチェ,八段,138.6
109位,トゥインクル,五段,138.4
110位,NAO,六段,138.1
111位,ウィッチリー,雀星Lv.4,138.0
112位,ソダシ,雀星Lv.1,137.9
113位,マルト,５級,137.7
114位,MARONY,十段,137.5
115位,しえる,八段,137.5
116位,ファイトガール,五段,137.1
117位,ROUTE,三段,137.0
118位,NATS,二段,136.9
119位,いなづま,５級,136.7
120位,カンコーヒー,四段,136.5
121位,アスマ,九段,136.2
122位,ブレクト,七段,136.1
123位,しろがね,七段,136.0
124位,あさひな,雀星Lv.3,135.9
125位,わたてー,八段,135.9
126位,しゃみ(ねこ),四段,135.8
127位,りふれいん,二段,135.8
