,,,,,
,,,,,
順位,名前,段位,KACPT,麻雀ファイトガール最終更新：2023/10/01 19:20時点のランキング,
001位,タテナオリ・セン,総合スコア 563.7,JAKE雀星Lv.5,個人スコア341.8,ファイトガールスコア221.9
002位,トイトイ,総合スコア 552.5,ぐでかご雀星Lv.68,個人スコア324.9,ファイトガールスコア227.6
003位,アマト・テンシ,総合スコア 550.5,しあるん雀星Lv.97,個人スコア320.3,ファイトガールスコア230.2
004位,パイン,総合スコア 542.0,せが雀星Lv.38,個人スコア334.0,ファイトガールスコア208.0
005位,ナナツノ・ツミレ,総合スコア 534.5,DESSA雀星Lv.14,個人スコア321.3,ファイトガールスコア213.2
006位,ヤワラギ・ヒヨリ,総合スコア 526.4,うおたみ雀星Lv.26,個人スコア316.6,ファイトガールスコア209.8
007位,ゼツバミ・ヤオ,総合スコア 522.9,SKコマチ雀星★Lv.7,個人スコア297.6,ファイトガールスコア225.3
008位,藤崎詩織,総合スコア 515.6,ひでじ雀星Lv.76,個人スコア351.5,ファイトガールスコア164.1
009位,クニノカミ・ムサシ,総合スコア 509.9,ぽむ十段,個人スコア287.7,ファイトガールスコア222.2
010位,アンコク・ミツバ,総合スコア 503.2,ミント雀星Lv.24,個人スコア284.3,ファイトガールスコア218.9
017位,AKI,雀星Lv.2,217.7,,
018位,トネガワッ☆,雀星Lv.11,217.2,,
019位,S・A,雀星Lv.6,216.5,,
020位,BYK,雀星Lv.4,213.1,,
021位,くりたろう,雀星Lv.3,212.8,,
022位,しゃけとば,二段,212.7,,
023位,ツミレ,雀星Lv.8,211.2,,
024位,おおもりNAO,十段,208.2,,
025位,しるこサンド,雀星Lv.20,206.8,,
026位,T_MiyaP,六段,205.7,,
027位,MIKA,六段,205.4,,
028位,まこんまこん,三段,204.6,,
029位,アメリー,二段,202.3,,
030位,●＼∀／●,八段,202,,
031位,かるまさん,５級,201.2,,
032位,すのい,八段,200.7,,
033位,ファイトガール,雀星Lv.1,200.5,,
034位,めめしくて,雀星Lv.1,197.8,,
035位,★みおたん★,六段,194.5,,
036位,あるてぃな,四段,193,,
037位,なげっつ,八段,190.1,,
038位,のここ,雀星Lv.1,188.9,,
039位,ZE／RO,七段,183.9,,
040位,てない,三段,183.4,,
041位,ごめちゃん,十段,182,,
042位,ファイトガール,八段,180.6,,
043位,ファイトガール,十段,180.4,,
044位,こっせつ,六段,180,,
045位,FITZ,雀星Lv.2,178.2,,
046位,takumi,六段,178.2,,
047位,etsumon,５級,178.2,,
048位,バタバタ3,３級,174,,
049位,ジュン,雀星Lv.1,171.4,,
050位,あおやま,七段,167.2,,
個別ランキングアマト・テンシ,,,,,
001位,しあるん,雀星Lv.97,320.3,,
002位,ラスク,雀星Lv.70,307.6,,
003位,めろりぬ,雀星Lv.43,304.3,,
004位,ヌコまる,八段,297,,
005位,サクラ,４級,290.6,,
006位,ネコシ,九段,282.6,,
007位,こうがひえん,雀星Lv.5,282.4,,
008位,おぐらあん,雀星Lv.11,278.5,,
009位,ましろ,十段,274.4,,
010位,トンヌラ,雀星Lv.13,268.2,,
011位,やまがみ,雀星Lv.23,268.1,,
012位,イギ,雀星Lv.1,265.9,,
013位,いか,雀星Lv.3,264,,
014位,きゃら,雀星Lv.13,253.9,,
015位,STeiou,雀星Lv.11,252.3,,
016位,まっしろ,七段,251.8,,
017位,ただのロリコン,雀星Lv.19,245.3,,
018位,フロストらとす,雀星Lv.3,244.4,,
019位,じばくれい,雀星Lv.7,240.8,,
020位,マウンテン,雀星Lv.30,239,,
021位,せつか,九段,238.8,,
022位,モグファナ,四段,235.3,,
023位,セルベリア,雀星Lv.9,230.8,,
024位,ねくすい,雀星Lv.11,226.9,,
025位,ユライネル,雀星Lv.4,223.5,,
026位,キラ946D,八段,219.5,,
027位,ゆう,八段,218.8,,
