

順位,名前,段位,エメラルドPT,麻雀ファイトガール最終更新：2023/09/30 09:10時点のランキング
001位,タテナオリ・セン,総合スコア 540.9,りとえるしあ雀星Lv.9,個人スコア327.6,ファイトガールスコア213.3
002位,トイトイ,総合スコア 540.0,ぐでかご雀星Lv.67,個人スコア324.9,ファイトガールスコア215.1
003位,アマト・テンシ,総合スコア 524.5,ラスク雀星Lv.69,個人スコア307.6,ファイトガールスコア216.9
004位,ナナツノ・ツミレ,総合スコア 517.9,DESSA雀星Lv.13,個人スコア321.3,ファイトガールスコア196.6
005位,藤崎詩織,総合スコア 516.2,ひでじ雀星Lv.75,個人スコア351.5,ファイトガールスコア164.7
006位,パイン,総合スコア 511.0,せが雀星Lv.37,個人スコア315.8,ファイトガールスコア195.2
007位,ゼツバミ・ヤオ,総合スコア 505.5,SKコマチ雀星★Lv.7,個人スコア297.6,ファイトガールスコア207.9
008位,ヤワラギ・ヒヨリ,総合スコア 501.1,うおたみ雀星Lv.25,個人スコア309.2,ファイトガールスコア191.9
009位,クニノカミ・ムサシ,総合スコア 499.1,なべしん＾ω＾雀星★Lv.4,個人スコア287.2,ファイトガールスコア211.9
010位,アンコク・ミツバ,総合スコア 492.5,ミント雀星Lv.24,個人スコア284.3,ファイトガールスコア208.2
個別ランキングヤワラギ・ヒヨリ
001位,うおたみ,雀星Lv.25,309.2
002位,プルンプルまる,雀星Lv.20,261.3
003位,ナガセ,雀星Lv.2,259.3
004位,イッツー,雀星Lv.15,257.1
005位,のだコトネ,雀星Lv.5,253.6
006位,ウシコ,雀星Lv.10,251.6
007位,とおりん,雀星Lv.1,237.2
008位,POP,九段,234.2
009位,Sac,初段,231.1
010位,april,十段,224.7
011位,ANK〇,１級,218.1
012位,うめポン,雀星Lv.44,212.7
013位,グロウアップ,雀星Lv.5,212.6
014位,ブレクト,雀星Lv.1,211.2
015位,テンスー,雀星Lv.5,209.5
016位,ECE116,雀星Lv.1,209.1
017位,RAPID,雀星Lv.3,207.3
018位,チンイツ,雀星Lv.9,204.2
019位,あーちゃん,雀星Lv.1,197.6
020位,サージュ,二段,195.3
021位,てるてるー,六段,192.6
022位,どら,２級,191.3
023位,なける,雀星Lv.1,189.2
024位,はーまん,九段,187.6
025位,かしわもち,雀星Lv.6,179.6
026位,KUMA9,雀星Lv.1,179.1
027位,トップクラウン,六段,178.9
028位,ヤリカバゥ,二段,178.8
029位,HIS8,雀星Lv.2,176.3
030位,ポット！！,雀星Lv.1,175.5
031位,いちりく,八段,171.9
032位,フミュー,雀星Lv.2,171.6
033位,コージロー,雀星Lv.30,171.4
034位,なね,７級,170.7
035位,Ray,雀星Lv.3,170.6
036位,とかげ,雀星Lv.13,169.2
037位,ノカレ,雀星Lv.1,165.6
038位,BAYA,四段,165.5
039位,イシダイ,１級,162.3
040位,KOOOU,雀星Lv.4,159.3
041位,けいしゃ,雀星Lv.1,158.1
042位,RON,五段,156.2
043位,むくぼき,二段,154.1
044位,Nyaight,五段,154.0
045位,トラウデン,四段,153.4
046位,シルメリア,十段,148.1
047位,SURIN,雀星Lv.3,148.0
048位,マナティー,１級,141.9
049位,イチ,雀星Lv.2,140.2
050位,ホべつ4マン♪,雀星Lv.6,137.7
個別ランキングタテナオリ・セン
001位,りとえるしあ,雀星Lv.9,327.6
002位,JAKE,雀星Lv.5,321.0
003位,clover,雀星Lv.2,317.3
004位,ぴかちゅー★,十段,266.5
005位,SLCふー,雀星Lv.6,263.5
006位,ほっけ,雀星Lv.5,255.3
007位,moji2,雀星Lv.16,240.0
008位,たぬきち,雀星Lv.5,240.0
009位,ピコ,雀星Lv.5,236.6
010位,Halu,５級,229.8
011位,えびたま,雀星Lv.3,228.1
012位,shinon,初段,227.0
013位,つばす,雀星Lv.3,226.1
014位,ストーム,三段,222.3
015位,ぱちぇりー,雀星Lv.51,222.1
016位,すどう,雀星Lv.1,222.0
017位,らりるん,雀星Lv.3,221.9
018位,みはらだ,雀星Lv.4,221.1
019位,ぬめ,雀星Lv.17,219.7
020位,あぎりさん,雀星Lv.1,219.2
021位,HIKARU,八段,215.7
022位,フェネック,雀星Lv.18,213.9
023位,ホムサ,七段,210.2
